fixture_id,time_elapsed,time_extra,team_id,team_name,player_id,player_name,assist_id,assist_name,event_type,event_detail,event_comments
974404,5,,2283,Atlas,35783.0,B. Lozano,,,Goal,Normal Goal,
974404,16,,2283,Atlas,35532.0,J. Quiñones,,,Goal,Normal Goal,
974404,45,,2291,Puebla,36088.0,G. Martinez,,,Card,Yellow Card,
974404,46,,2291,Puebla,292227.0,E. Martínez,51640.0,F. Waller,subst,Substitution 1,
974404,46,,2291,Puebla,51658.0,E. Gularte,35841.0,D. Aguilar,subst,Substitution 2,
974404,51,,2283,Atlas,6084.0,G. Silva,,,Goal,Own Goal,
974404,58,,2291,Puebla,35751.0,O. Fernandez,,,Card,Yellow Card,
974404,62,,2283,Atlas,2423.0,A. Santamaría,35830.0,A. Gómez,subst,Substitution 1,
974404,62,,2283,Atlas,35597.0,L. Reyes,16462.0,A. Chalá,subst,Substitution 2,
974404,65,,2291,Puebla,157905.0,Á. Robles,35634.0,M. Barragán,subst,Substitution 3,
974404,65,,2291,Puebla,36088.0,G. Martínez,51589.0,K. Ramírez,subst,Substitution 4,
974404,67,,2291,Puebla,35782.0,D. De Buen,,,Card,Yellow Card,
974404,69,,2283,Atlas,35783.0,B. Lozano,,,Goal,Normal Goal,
974404,74,,2291,Puebla,35751.0,O. Fernández,35965.0,G. Corral,subst,Substitution 5,
974404,76,,2283,Atlas,35792.0,J. Furch,94561.0,C. Trejo,subst,Substitution 3,
974404,76,,2283,Atlas,35860.0,O. Herrera,35850.0,J. Márquez,subst,Substitution 4,
974404,90,3.0,2283,Atlas,35783.0,B. Lozano,35549.0,J. Martínez,subst,Substitution 5,
974405,44,,14002,Mazatlán,35988.0,A. Loba,,,Card,Yellow Card,
974405,45,,2288,Necaxa,35617.0,A. Pena,,,Card,Yellow Card,
974405,45,4.0,2288,Necaxa,35643.0,R. Monreal,35793.0,B. Garnica,Goal,Normal Goal,
974405,56,,14002,Mazatlán,36195.0,B. Colula,50932.0,J. Colmán,subst,Substitution 1,
974405,57,,14002,Mazatlán,35517.0,F. Venegas,35663.0,E. Orona,subst,Substitution 2,
974405,64,,2288,Necaxa,35643.0,R. Monreal,199539.0,V. Poggi,subst,Substitution 1,
974405,68,,14002,Mazatlán,11765.0,E. Bello,35958.0,M. Sansores,subst,Substitution 3,
974405,76,,2288,Necaxa,35793.0,B. Garnica,325270.0,J. Domínguez,subst,Substitution 2,
974405,76,,2288,Necaxa,35575.0,Édgar Méndez,9723.0,F. Batista,subst,Substitution 3,
974405,88,,14002,Mazatlán,35943.0,R. Meraz,36251.0,E. Sánchez,subst,Substitution 4,
974405,88,,14002,Mazatlán,46855.0,Y. Bárcenas,403700.0,O. Moreno,subst,Substitution 5,
974405,90,6.0,2288,Necaxa,13176.0,J. Segovia,,,Card,Yellow Card,
974405,90,1.0,2288,Necaxa,36045.0,F. Madrigal,378974.0,R. Cortéz,subst,Substitution 4,
974405,90,1.0,2288,Necaxa,6711.0,D. Batallini,52058.0,M. Silvera,subst,Substitution 5,
974406,17,,2281,Toluca,44435.0,C. Baeza,,,Card,Yellow Card,
